pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,motion_score,bbox
1782409994.913314,1,1,still,unknown,center,near,0,0.0,0.00,74 5 640 478
1782409995.296421,1,1,still,unknown,center,near,0,1.6,0.00,71 5 640 478
1782409995.375666,1,1,still,unknown,center,near,0,2.2,0.00,71 5 640 479
1782409995.453278,1,1,still,unknown,center,near,0,2.2,0.17,71 5 640 478
1782409995.531241,1,1,still,unknown,center,near,0,2.0,0.16,71 5 640 479
1782409995.609725,1,1,still,unknown,center,near,0,1.6,0.15,72 5 640 478
1782409995.672043,1,1,still,unknown,center,near,0,1.4,0.14,72 5 640 479
1782409995.749304,1,1,still,unknown,center,near,0,1.3,0.15,72 5 640 479
1782409995.826551,1,1,still,unknown,center,near,0,1.0,0.15,72 5 640 479
1782409995.888354,1,1,still,unknown,center,near,0,0.9,0.14,72 5 640 479
1782409995.951184,1,1,still,unknown,center,near,0,0.8,0.13,72 5 640 478
1782409996.029365,1,1,still,unknown,center,near,0,0.7,0.13,72 5 640 479
1782409996.099137,1,1,still,unknown,center,near,0,1.0,0.14,73 5 640 479
1782409996.161798,1,1,still,unknown,center,near,0,0.8,0.13,72 5 640 479
1782409996.219703,1,1,still,unknown,center,near,0,0.8,0.13,72 5 640 479
1782409996.273483,1,1,still,unknown,center,near,0,1.6,0.15,73 5 640 479
1782409996.328045,1,1,still,unknown,center,near,0,1.9,0.16,74 5 640 479
1782409996.379623,1,1,still,unknown,center,near,0,2.0,0.16,73 5 640 479
1782409996.433274,1,1,still,unknown,center,near,0,1.4,0.16,73 5 640 479
1782409996.487772,1,1,still,unknown,center,near,0,1.0,0.16,73 5 640 479
1782409996.539068,1,1,still,unknown,center,near,0,1.7,0.16,74 5 640 479
1782409996.590247,1,1,still,unknown,center,near,0,1.8,0.16,74 5 640 479
1782409996.643229,1,1,still,unknown,center,near,0,1.1,0.17,74 5 640 479
1782409996.705705,1,1,still,unknown,center,near,0,1.3,0.18,73 4 640 479
1782409996.764215,1,1,still,unknown,center,near,0,1.5,0.20,74 4 640 479
1782409996.819230,1,1,still,unknown,center,near,0,2.0,0.22,73 4 640 479
1782409996.869107,1,1,still,unknown,center,near,0,2.6,0.25,74 3 640 479
1782409996.918844,1,1,still,unknown,center,near,0,2.8,0.25,73 4 640 478
1782409996.975657,1,1,still,unknown,center,near,0,2.9,0.27,73 3 640 478
1782409997.031283,1,1,still,unknown,center,near,0,2.8,0.27,72 4 640 478
1782409997.083328,1,1,still,unknown,center,near,0,2.0,0.27,73 3 640 479
1782409997.137987,1,1,still,unknown,center,near,0,1.5,0.27,73 4 640 479
1782409997.188278,1,1,still,unknown,center,near,0,1.4,0.26,72 4 640 479
1782409997.246441,1,1,still,unknown,center,near,0,1.9,0.25,72 4 640 479
1782409997.301267,1,1,still,unknown,center,near,0,2.1,0.24,72 4 640 479
1782409997.357174,1,1,still,unknown,center,near,0,2.2,0.24,72 4 640 479
1782409997.411594,1,1,still,unknown,center,near,0,1.4,0.24,72 3 640 479
1782409997.463824,1,1,still,unknown,center,near,0,1.9,0.23,73 5 640 479
1782409997.517444,1,1,still,unknown,center,near,0,1.7,0.23,72 4 640 479
1782409997.572614,1,1,still,unknown,center,near,0,3.0,0.25,70 4 639 479
1782409997.623264,1,1,still,unknown,center,near,0,5.4,0.30,66 4 640 478
1782409997.676625,1,1,still,unknown,center,near,0,7.7,0.35,65 4 640 477
1782409997.725542,1,1,still,unknown,center,near,0,25.6,0.71,40 4 640 478
1782409997.827004,1,1,still,unknown,center,near,0,29.6,0.85,44 4 640 478
1782409997.876637,1,1,still,unknown,center,near,0,34.7,1.02,40 3 640 480
1782409997.922734,1,1,still,unknown,center,near,0,40.7,1.19,34 3 640 479
1782409997.970128,1,1,moving,unknown,center,near,1,43.2,1.34,33 3 640 479
1782409998.026543,1,1,moving,unknown,center,near,1,43.9,1.47,30 2 640 479
1782409998.074640,1,1,moving,unknown,center,near,1,39.9,1.53,37 3 640 478
1782409998.123990,1,1,moving,unknown,center,near,1,30.6,1.65,23 3 640 479
1782409998.173791,1,1,moving,unknown,center,near,1,29.3,1.72,25 3 640 479
1782409998.223054,1,1,moving,unknown,center,near,1,21.6,1.76,31 3 640 479
1782409998.273188,1,1,moving,unknown,center,near,1,26.3,1.73,56 3 640 478
1782409998.323084,1,1,moving,unknown,center,near,1,32.5,1.70,61 3 639 479
1782409998.369278,1,1,moving,unknown,center,near,1,40.8,1.68,64 2 640 479
1782409998.418188,1,1,moving,unknown,center,near,1,38.8,1.65,62 3 640 479
1782409998.466910,1,1,moving,unknown,center,near,1,46.0,1.62,59 3 640 479
1782409998.513497,1,1,moving,unknown,center,near,1,41.6,1.58,50 4 640 479
1782409998.566671,1,1,moving,unknown,center,near,1,30.2,1.54,44 4 640 480
1782409998.614027,1,1,moving,unknown,center,near,1,27.2,1.50,40 4 640 480
1782409998.665720,1,1,moving,unknown,center,near,1,29.0,1.43,40 4 639 480
1782409998.713324,1,1,moving,unknown,center,near,1,23.9,1.41,52 4 639 479
1782409998.756660,1,1,moving,unknown,center,near,1,13.9,1.36,59 3 640 479
1782409998.808715,1,1,moving,unknown,center,near,1,12.3,1.35,67 2 640 479
1782409998.861348,1,1,moving,unknown,center,near,1,22.6,1.38,73 2 640 478
1782409998.912793,1,1,moving,unknown,center,near,1,42.4,1.51,86 2 640 477
1782409998.965452,1,1,moving,unknown,center,near,1,56.1,1.65,88 1 640 477
1782409999.013209,1,1,moving,unknown,center,near,1,67.6,1.82,94 0 640 479
1782409999.061086,1,1,moving,unknown,center,near,1,69.2,1.96,101 3 640 478
1782409999.105797,1,1,moving,unknown,center,near,1,68.3,2.14,107 3 640 478
1782409999.155682,1,1,moving,unknown,center,near,1,71.2,2.34,118 5 640 480
1782409999.207000,1,1,moving,unknown,center,near,1,87.8,2.98,144 12 640 480
1782409999.255518,1,1,moving,unknown,center,near,1,98.2,3.74,159 16 640 478
1782409999.301320,1,1,moving,unknown,center,near,1,121.9,4.86,183 25 640 478
1782409999.354004,1,1,moving,unknown,center,near,1,135.9,5.85,192 31 639 478
1782409999.395656,1,1,moving,unknown,center,near,1,146.8,6.96,211 39 629 477
1782409999.441859,1,1,moving,unknown,center,near,1,152.2,7.87,213 41 632 477
1782409999.492961,1,1,moving,unknown,right,near,1,151.3,8.67,221 41 632 476
1782409999.546647,1,1,moving,unknown,right,near,1,135.8,9.37,235 42 627 477
1782409999.597171,1,1,moving,unknown,center,near,1,105.8,9.86,241 43 603 477
1782409999.650609,1,1,moving,unknown,center,near,1,72.3,10.26,242 44 600 478
1782409999.705171,1,1,moving,unknown,center,near,1,48.0,10.57,244 47 593 478
1782409999.757733,1,1,moving,unknown,center,near,1,33.8,10.76,243 48 587 479
1782409999.806549,1,1,moving,unknown,center,near,1,36.3,10.85,242 51 578 479
1782409999.851773,1,1,moving,unknown,center,near,1,47.2,10.83,241 53 573 478
1782409999.909086,1,1,moving,unknown,center,near,1,65.7,10.73,239 57 564 480
1782409999.973753,1,1,moving,unknown,center,near,1,65.4,10.36,238 57 560 478
1782410000.030916,1,1,moving,unknown,center,near,1,73.6,10.16,235 60 547 479
1782410000.083514,1,1,moving,unknown,center,near,1,85.6,10.04,231 67 534 477
1782410000.135548,1,1,moving,unknown,center,near,1,89.3,9.97,233 71 531 476
1782410000.192883,1,1,moving,unknown,center,near,1,89.5,9.89,231 74 523 477
1782410000.250258,1,1,moving,unknown,center,near,1,100.9,9.89,230 79 498 477
1782410000.307492,1,1,moving,unknown,center,near,1,109.4,9.52,229 82 483 475
1782410000.362239,1,1,moving,unknown,center,near,1,116.8,9.58,227 84 478 476
1782410000.419974,1,1,moving,unknown,center,near,1,117.7,9.85,225 88 469 476
1782410000.472442,1,1,moving,unknown,center,near,1,110.7,10.08,225 89 463 476
1782410000.523060,1,1,moving,unknown,center,near,1,107.1,10.34,224 89 461 476
1782410000.575653,1,1,moving,unknown,center,near,1,100.0,10.53,226 90 459 475
1782410000.630036,1,1,moving,unknown,center,near,1,80.3,10.75,227 92 457 475
1782410000.690321,1,1,moving,unknown,center,near,1,60.2,10.87,230 93 453 475
1782410000.745552,1,1,moving,unknown,center,near,1,45.4,10.81,231 95 452 475
1782410000.799079,1,1,moving,unknown,center,near,1,29.2,10.20,235 96 454 476
1782410000.855514,1,1,moving,unknown,center,near,1,20.0,9.82,236 97 453 477
1782410000.906545,1,1,moving,unknown,center,near,1,18.7,9.35,241 97 454 478
1782410000.965743,1,1,moving,unknown,center,near,1,20.4,8.78,244 99 454 477
1782410001.023125,1,1,moving,unknown,center,near,1,25.4,8.18,249 100 456 478
1782410001.075553,1,1,moving,unknown,center,near,1,33.3,7.49,254 101 459 478
1782410001.127722,1,1,moving,unknown,center,near,1,38.4,6.79,256 102 459 478
1782410001.177431,1,1,moving,unknown,center,near,1,41.6,5.99,260 104 461 478
1782410001.225471,1,1,moving,unknown,center,near,1,45.5,6.01,263 106 460 480
1782410001.279181,1,1,moving,unknown,center,near,1,44.6,5.26,265 106 460 480
1782410001.327096,1,1,moving,unknown,center,near,1,43.5,4.75,266 108 460 480
1782410001.377329,1,1,moving,unknown,center,near,1,38.6,4.24,266 108 460 480
1782410001.430985,1,1,moving,unknown,center,near,1,30.5,3.81,267 109 459 480
1782410001.486655,1,1,moving,unknown,center,near,1,24.5,3.61,268 109 457 480
1782410001.545854,1,1,moving,unknown,center,near,1,17.5,3.53,266 110 455 480
1782410001.595830,1,1,moving,unknown,center,near,1,15.1,3.42,264 110 451 480
1782410001.646905,1,1,moving,unknown,center,near,1,17.2,3.37,262 110 449 480
1782410001.700994,1,1,moving,unknown,center,near,1,24.6,3.28,257 111 445 480
1782410001.757048,1,1,moving,unknown,center,near,1,31.4,3.16,256 111 442 480
1782410001.807410,1,1,moving,unknown,center,near,1,43.1,3.07,251 111 434 480
1782410001.857470,1,1,moving,unknown,center,near,1,52.2,2.99,248 112 432 480
1782410001.907440,1,1,moving,unknown,center,near,1,61.6,3.01,243 113 426 479
1782410001.953173,1,1,moving,unknown,center,near,1,67.1,3.09,240 113 423 477
1782410002.005453,1,1,moving,unknown,center,near,1,70.2,3.20,239 114 420 477
1782410002.054035,1,1,moving,unknown,center,near,1,66.3,3.39,238 115 420 477
1782410002.103331,1,1,moving,unknown,center,near,1,62.5,3.45,238 114 419 477
1782410002.160682,1,1,moving,unknown,center,near,1,50.8,3.49,238 115 419 477
1782410002.207552,1,1,moving,unknown,center,near,1,41.6,3.52,238 115 419 477
1782410002.262912,1,1,moving,unknown,center,near,1,28.3,3.52,238 115 420 477
1782410002.312338,1,1,moving,unknown,center,near,1,16.8,3.49,239 116 422 477
1782410002.366410,1,1,moving,unknown,center,near,1,10.6,3.43,239 116 422 477
1782410002.415438,1,1,moving,unknown,center,near,1,11.2,3.35,244 116 423 478
1782410002.466516,1,1,moving,unknown,center,near,1,15.3,3.24,246 116 424 478
1782410002.517536,1,1,moving,unknown,center,near,1,20.5,3.09,249 116 426 478
1782410002.567602,1,1,moving,unknown,center,near,1,25.7,2.93,251 115 428 478
1782410002.618876,1,1,moving,unknown,center,near,1,31.3,2.74,253 115 431 479
1782410002.672233,1,1,moving,unknown,center,near,1,35.7,2.53,256 114 433 479
1782410002.722294,1,1,moving,unknown,center,near,1,38.4,2.31,257 115 434 480
1782410002.776460,1,1,moving,sit,center,near,1,38.8,2.14,259 116 435 480
1782410002.831062,1,1,moving,sit,center,near,1,37.8,1.99,260 116 437 480
1782410002.879153,1,1,moving,sit,center,near,1,35.0,1.86,260 116 438 480
1782410002.928924,1,1,moving,sit,center,near,1,32.2,1.81,261 116 439 480
1782410002.979011,1,1,moving,sit,center,near,1,28.4,1.79,262 115 440 479
1782410003.025622,1,1,moving,sit,center,near,1,23.7,1.80,262 115 441 479
1782410003.078156,1,1,moving,sit,center,near,1,20.2,1.81,262 116 441 480
1782410003.128989,1,1,moving,sit,center,near,1,16.2,1.83,262 116 441 480
1782410003.180087,1,1,moving,unknown,center,near,1,12.5,1.85,262 115 441 480
1782410003.226658,1,1,moving,unknown,center,near,1,9.6,1.85,262 115 441 480
1782410003.277082,1,1,moving,sit,center,near,1,6.9,1.83,262 115 441 480
1782410003.325662,1,1,moving,sit,center,near,1,4.4,1.78,262 115 441 480
1782410003.375535,1,1,still,sit,center,near,0,2.7,1.71,262 115 441 480
1782410003.425617,1,1,still,sit,center,near,0,1.9,1.61,262 115 441 480
1782410003.475528,1,1,still,sit,center,near,0,1.6,1.50,262 115 441 480
1782410003.525612,1,1,still,sit,center,near,0,1.5,1.36,262 115 441 480
1782410003.577502,1,1,still,sit,center,near,0,1.3,1.19,262 115 441 480
1782410003.627945,1,1,still,sit,center,near,0,1.3,1.02,262 115 441 480
1782410003.677303,1,1,still,sit,center,near,0,1.5,0.86,262 115 441 479
1782410003.729953,1,1,still,sit,center,near,0,1.3,0.70,262 115 441 479
1782410003.778035,1,1,still,sit,center,near,0,1.4,0.53,262 115 441 480
1782410003.827112,1,1,still,sit,center,near,0,1.3,0.43,262 115 441 479
1782410003.876247,1,1,still,sit,center,near,0,0.9,0.35,262 115 441 480
1782410003.928087,1,1,still,sit,center,near,0,0.9,0.26,261 115 441 480
1782410003.978693,1,1,still,sit,center,near,0,0.9,0.21,261 115 440 480
1782410004.030015,1,1,still,sit,center,near,0,0.8,0.21,262 115 440 480
1782410004.078111,1,1,still,unknown,center,near,0,1.0,0.17,261 115 440 480
1782410004.128229,1,1,still,unknown,center,near,0,1.0,0.13,261 115 440 480
1782410004.181134,1,1,still,unknown,center,near,0,0.6,0.12,261 115 441 479
1782410004.227218,1,1,still,sit,center,near,0,0.8,0.12,261 115 440 479
1782410004.273960,1,1,still,sit,center,near,0,0.8,0.13,262 115 441 479
1782410004.325564,1,1,still,sit,center,near,0,0.8,0.12,262 115 440 480
1782410004.374696,1,1,still,sit,center,near,0,0.9,0.12,262 115 440 480
1782410004.426539,1,1,still,sit,center,near,0,0.9,0.11,262 115 440 480
1782410004.473135,1,1,still,sit,center,near,0,0.7,0.11,261 115 440 480
1782410004.521889,1,1,still,unknown,center,near,0,1.0,0.11,261 115 440 480
1782410004.574215,1,1,still,sit,center,near,0,0.9,0.10,261 115 440 480
1782410004.628944,1,1,still,sit,center,near,0,1.4,0.10,261 115 440 480
1782410004.680376,1,1,still,sit,center,near,0,1.6,0.11,261 115 440 480
1782410004.726308,1,1,still,sit,center,near,0,2.0,0.11,261 115 440 480
1782410004.777638,1,1,still,sit,center,near,0,1.9,0.11,261 115 440 480
1782410004.830158,1,1,still,sit,center,near,0,1.2,0.11,261 115 440 480
1782410004.882561,1,1,still,sit,center,near,0,0.9,0.11,261 115 440 480
1782410004.934601,1,1,still,sit,center,near,0,1.0,0.11,261 115 440 480
1782410004.993294,1,1,still,sit,center,near,0,0.6,0.11,261 115 440 480
1782410005.043053,1,1,still,unknown,center,near,0,0.5,0.11,261 115 440 480
1782410005.092210,1,1,still,sit,center,near,0,0.6,0.11,261 115 440 480
1782410005.139197,1,1,still,sit,center,near,0,1.0,0.11,261 115 440 480
1782410005.185768,1,1,still,sit,center,near,0,0.9,0.11,261 115 440 480
1782410005.237129,1,1,still,sit,center,near,0,0.7,0.11,261 115 440 480
1782410005.287824,1,1,still,sit,center,near,0,0.7,0.11,261 115 440 480
1782410005.336431,1,1,still,sit,center,near,0,0.7,0.11,261 115 440 480
1782410005.386422,1,1,still,sit,center,near,0,0.4,0.11,261 115 440 480
1782410005.435600,1,1,still,sit,center,near,0,0.4,0.10,261 115 440 480
1782410005.487234,1,1,still,sit,center,near,0,0.7,0.09,261 115 440 480
1782410005.541069,1,1,still,sit,center,near,0,0.5,0.08,261 115 440 480
1782410005.595420,1,1,still,sit,center,near,0,0.4,0.08,261 115 441 479
1782410005.647210,1,1,still,sit,center,near,0,0.6,0.08,261 115 441 480
1782410005.702086,1,1,still,sit,center,near,0,0.7,0.08,261 115 441 480
1782410005.751037,1,1,still,sit,center,near,0,1.1,0.08,261 115 441 480
1782410005.805625,1,1,still,sit,center,near,0,1.2,0.09,261 115 441 480
