pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,bbox
1782398620.818106,1,1,still,unknown,center,near,0,0.0,46 2 640 480
1782398621.187531,1,1,still,unknown,center,near,0,1.0,48 2 640 480
1782398621.257055,1,1,still,unknown,center,near,0,1.4,48 2 640 480
1782398621.326121,1,1,still,unknown,center,near,0,1.1,45 2 640 480
1782398621.392129,1,1,still,unknown,center,near,0,1.6,44 2 640 480
1782398621.453646,1,1,still,unknown,center,near,0,1.4,45 2 640 480
1782398621.517165,1,1,still,unknown,center,near,0,1.0,47 2 640 480
1782398621.579169,1,1,still,unknown,center,near,0,0.6,46 2 640 480
1782398621.638688,1,1,still,unknown,center,near,0,1.7,45 2 640 480
1782398621.705700,1,1,still,unknown,center,near,0,2.7,45 2 640 480
1782398621.770226,1,1,still,unknown,center,near,0,2.5,47 2 640 480
1782398621.834771,1,1,still,unknown,center,near,0,2.5,46 2 640 480
1782398621.900763,1,1,still,unknown,center,near,0,1.5,45 2 640 480
1782398621.970126,1,1,still,unknown,center,near,0,1.4,46 2 640 480
1782398622.037654,1,1,still,unknown,center,near,0,1.5,48 2 640 480
1782398622.100652,1,1,still,unknown,center,near,0,1.7,47 2 640 480
1782398622.157893,1,1,still,unknown,center,near,0,1.5,46 2 640 480
1782398622.213411,1,1,still,unknown,center,near,0,1.8,49 2 640 480
1782398622.272494,1,1,still,unknown,center,near,0,3.3,50 2 640 480
1782398622.331087,1,1,still,unknown,center,near,0,16.4,70 2 640 480
1782398622.396091,1,1,still,unknown,center,near,0,26.1,77 2 640 480
1782398622.464617,1,1,still,unknown,center,near,0,25.5,69 2 640 480
1782398622.529134,1,1,still,unknown,center,near,0,30.7,81 0 636 480
1782398622.590136,1,1,still,unknown,center,near,0,36.2,84 2 638 480
1782398622.652654,1,1,moving,unknown,center,near,1,42.1,92 1 639 480
1782398622.714161,1,1,moving,unknown,center,near,1,43.6,92 1 638 480
1782398622.773261,1,1,still,unknown,center,near,0,31.9,92 3 636 480
1782398622.836920,1,1,still,unknown,center,near,0,18.4,86 5 633 480
1782398622.896924,1,1,still,unknown,center,near,0,14.1,79 1 622 480
1782398622.957436,1,1,still,unknown,center,near,0,24.7,67 6 620 480
1782398623.020970,1,1,still,unknown,center,near,0,39.3,57 5 619 480
1782398623.081967,1,1,moving,unknown,center,near,1,60.5,49 6 613 480
1782398623.144496,1,1,moving,unknown,center,near,1,90.4,34 0 593 480
1782398623.206292,1,1,moving,unknown,center,near,1,120.4,21 0 577 480
1782398623.258807,1,1,moving,unknown,center,near,1,145.7,20 5 555 480
1782398623.324097,1,1,moving,unknown,center,near,1,158.3,18 7 536 480
1782398623.388097,1,1,moving,unknown,center,near,1,155.5,16 7 540 480
1782398623.444646,1,1,moving,unknown,center,near,1,163.5,13 4 518 480
1782398623.503655,1,1,moving,unknown,center,near,1,171.4,0 1 510 480
1782398623.561190,1,1,moving,unknown,center,near,1,153.7,4 0 509 480
1782398623.619708,1,1,moving,unknown,center,near,1,133.4,6 0 498 480
1782398623.675799,1,1,moving,unknown,center,near,1,113.1,10 0 488 480
1782398623.738226,1,1,moving,unknown,center,near,1,94.5,11 0 481 480
1782398623.797229,1,1,moving,unknown,center,near,1,90.9,11 0 474 480
1782398623.850749,1,1,moving,unknown,center,near,1,75.5,14 0 467 480
1782398623.905751,1,1,moving,unknown,center,near,1,54.8,16 0 467 480
1782398623.972263,1,1,moving,unknown,center,near,1,46.0,17 0 465 480
1782398624.039801,1,1,still,unknown,center,near,0,36.8,17 0 464 479
