pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,bbox
1782398963.430870,1,1,still,unknown,center,near,0,0.0,0 0 625 480
1782398963.662493,1,1,still,unknown,center,near,0,0.9,0 0 626 480
1782398963.739880,1,1,moving,unknown,center,near,1,47.2,0 0 567 480
1782398963.809083,1,1,moving,unknown,center,near,1,71.5,1 0 551 480
1782398963.878893,1,1,moving,unknown,center,near,1,86.5,2 0 532 480
1782398963.951662,1,1,moving,unknown,center,near,1,85.7,1 0 536 480
1782398964.015375,1,1,moving,unknown,center,near,1,79.8,1 0 537 480
1782398964.082876,1,1,moving,unknown,center,near,1,72.9,1 0 538 480
1782398964.150926,1,1,moving,unknown,center,near,1,82.0,1 0 535 480
1782398964.224281,1,1,moving,unknown,center,near,1,74.5,0 0 502 480
1782398964.286858,1,1,moving,unknown,center,near,1,68.3,0 1 493 480
1782398964.355868,1,1,moving,unknown,center,near,1,62.1,0 0 481 480
1782398964.419670,1,1,moving,unknown,center,near,1,54.4,0 1 493 479
1782398964.487597,1,1,moving,unknown,center,near,1,52.8,0 1 490 479
1782398964.550981,1,1,moving,unknown,center,near,1,52.5,0 1 490 479
1782398964.618109,1,1,moving,unknown,center,near,1,52.0,0 0 488 480
1782398964.681860,1,1,still,unknown,center,near,0,35.8,3 0 517 480
1782398964.746100,1,1,still,unknown,center,near,0,20.8,0 1 498 480
1782398964.806100,1,1,still,unknown,center,near,0,20.5,0 1 499 480
1782398964.869072,1,1,still,unknown,center,near,0,10.7,0 1 492 480
1782398964.940090,1,1,still,unknown,center,near,0,5.8,0 1 491 480
1782398965.003639,1,1,still,unknown,center,near,0,5.3,0 1 485 480
1782398965.069737,1,1,still,unknown,center,near,0,3.0,0 0 488 480
1782398965.131075,1,1,still,unknown,center,near,0,22.7,0 0 482 480
1782398965.198837,1,1,still,unknown,center,near,0,23.9,0 0 475 480
1782398965.269778,1,1,still,unknown,center,near,0,20.8,0 0 482 480
1782398965.337785,1,1,still,unknown,center,near,0,17.6,0 0 478 480
1782398965.399629,1,1,still,unknown,center,near,0,14.8,0 11 486 480
1782398965.463878,1,1,still,unknown,center,near,0,16.9,0 18 490 480
1782398965.526954,1,1,still,unknown,center,near,0,23.4,0 28 487 480
1782398965.589882,1,1,still,unknown,center,near,0,31.0,0 32 498 480
1782398965.655885,1,1,still,unknown,center,near,0,34.2,0 32 487 480
1782398965.721369,1,1,still,unknown,center,near,0,39.9,0 41 489 480
1782398965.780954,1,1,moving,unknown,center,near,1,46.1,0 44 491 480
1782398965.842737,1,1,moving,unknown,center,near,1,46.4,0 52 491 480
1782398965.905704,1,1,moving,unknown,center,near,1,46.6,0 59 485 480
1782398965.967194,1,1,moving,unknown,center,near,1,43.3,0 62 489 480
1782398966.028699,1,1,moving,unknown,center,near,1,49.6,1 65 461 480
1782398966.096041,1,1,moving,unknown,center,near,1,48.9,1 64 459 480
1782398966.158668,1,1,moving,unknown,center,near,1,41.7,1 59 465 480
1782398966.218682,1,1,still,unknown,center,near,0,35.1,0 54 467 480
1782398966.281911,1,1,still,unknown,center,near,0,28.6,1 49 471 480
1782398966.343128,1,1,still,unknown,center,near,0,22.9,0 46 476 480
1782398966.406761,1,1,still,unknown,center,near,0,22.3,0 46 480 480
1782398966.468820,1,1,still,unknown,center,near,0,21.9,0 47 468 480
