pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,bbox
1782403301.052941,1,1,still,unknown,center,near,0,0.0,21 28 640 480
1782403301.392573,1,1,still,unknown,center,near,0,1.7,23 30 639 480
1782403301.514677,1,1,still,unknown,center,near,0,2.2,20 30 639 480
1782403301.632644,1,1,still,unknown,center,near,0,2.0,22 29 640 480
1782403301.737807,1,1,still,unknown,center,near,0,1.5,19 27 640 480
1782403301.846465,1,1,still,unknown,center,near,0,1.0,23 29 637 480
1782403301.952665,1,1,still,unknown,center,near,0,3.5,17 32 634 480
1782403302.065681,1,1,still,unknown,center,near,0,3.8,21 32 632 480
1782403302.164572,1,1,still,unknown,center,near,0,4.7,20 33 635 480
1782403302.260827,1,1,still,unknown,center,near,0,5.2,20 35 632 480
1782403302.354778,1,1,still,unknown,center,near,0,6.2,20 37 635 480
1782403302.458842,1,1,still,unknown,center,near,0,6.8,24 38 635 480
1782403302.577056,1,1,still,unknown,center,near,0,6.8,24 39 635 480
1782403302.681840,1,1,still,unknown,center,near,0,7.4,24 42 632 480
1782403302.789821,1,1,still,unknown,center,near,0,7.8,26 42 633 480
1782403302.896842,1,1,still,unknown,center,near,0,5.6,24 36 634 480
1782403303.004361,1,1,still,unknown,center,near,0,3.6,18 38 635 480
1782403303.104692,1,1,still,unknown,center,near,0,5.5,15 34 629 480
1782403303.210878,1,1,still,unknown,center,near,0,4.4,30 37 624 480
1782403303.314227,1,1,still,unknown,center,near,0,8.2,22 34 619 480
1782403303.420823,1,1,still,unknown,center,near,0,8.8,50 34 617 480
1782403303.522271,1,1,still,unknown,center,near,0,13.1,80 45 605 480
1782403303.625001,1,1,still,unknown,center,near,0,26.9,99 57 614 480
1782403303.731736,1,1,moving,unknown,center,near,1,46.4,116 78 624 480
1782403303.834613,1,1,moving,unknown,center,near,1,46.5,63 85 626 480
1782403303.937807,1,1,moving,unknown,center,near,1,89.2,199 107 633 480
1782403304.042861,1,1,moving,unknown,center,near,1,116.5,203 112 632 480
1782403304.153570,1,1,moving,unknown,center,near,1,121.3,202 113 632 480
1782403304.250622,1,1,moving,unknown,center,near,1,116.7,202 115 630 480
1782403304.352653,1,1,moving,unknown,center,near,1,95.9,177 115 630 480
1782403304.454928,1,1,moving,unknown,center,near,1,68.5,73 112 618 480
1782403304.556453,1,1,moving,unknown,center,near,1,56.5,122 110 627 480
1782403304.653587,1,1,moving,unknown,center,near,1,88.9,36 108 623 480
1782403304.765751,1,1,moving,unknown,center,near,1,83.0,98 103 626 480
1782403304.871027,1,1,moving,unknown,center,near,1,80.9,84 98 638 480
1782403304.977700,1,1,moving,unknown,center,near,1,82.2,74 91 639 480
1782403305.086302,1,1,moving,unknown,center,near,1,78.9,67 79 635 480
1782403305.191012,1,1,moving,unknown,center,near,1,56.0,58 64 640 480
1782403305.287529,1,1,moving,unknown,center,near,1,48.0,79 60 638 480
1782403305.387662,1,1,moving,unknown,center,near,1,52.8,77 46 639 480
1782403305.490918,1,1,moving,unknown,center,near,1,58.3,58 15 638 480
1782403305.587925,1,1,moving,unknown,center,near,1,63.9,61 1 640 480
1782403305.687759,1,1,moving,unknown,center,near,1,63.4,84 2 638 480
1782403305.776436,1,1,moving,unknown,center,near,1,59.8,69 1 640 480
1782403305.897864,1,1,moving,unknown,center,near,1,52.5,70 2 640 480
1782403306.007257,1,1,moving,unknown,center,near,1,48.4,53 1 640 480
1782403306.122734,1,1,moving,unknown,center,near,1,41.9,49 1 640 480
1782403306.240717,1,1,still,unknown,center,near,0,28.0,40 1 640 480
1782403306.349898,1,1,still,unknown,center,near,0,20.2,42 1 640 480
1782403306.462850,1,1,still,unknown,center,near,0,22.5,43 1 640 480
1782403306.580786,1,1,still,unknown,center,near,0,19.6,42 1 640 480
1782403306.693790,1,1,still,unknown,center,near,0,17.0,47 1 640 480
1782403306.806185,1,1,still,unknown,center,near,0,9.1,54 1 640 480
1782403306.907698,1,1,still,unknown,center,near,0,4.7,49 1 640 480
1782403307.009636,1,1,still,unknown,center,near,0,9.3,64 1 638 480
1782403307.126800,1,1,still,unknown,center,near,0,8.9,55 0 640 480
1782403307.236034,1,1,still,unknown,center,near,0,6.1,48 0 640 480
1782403307.351481,1,1,still,unknown,center,near,0,20.3,95 0 640 480
1782403307.461844,1,1,still,unknown,center,near,0,30.8,110 1 640 480
1782403307.571840,1,1,still,unknown,center,near,0,30.3,100 1 640 480
1782403307.682570,1,1,still,unknown,center,near,0,36.1,114 1 640 480
1782403307.791857,1,1,still,unknown,center,near,0,30.5,102 0 638 480
1782403307.899507,1,1,still,unknown,center,near,0,33.0,112 2 638 480
1782403308.010143,1,1,still,unknown,center,near,0,26.7,79 1 640 480
1782403308.128865,1,1,still,unknown,center,near,0,37.6,50 1 609 480
1782403308.241396,1,1,moving,unknown,center,near,1,65.6,68 14 537 480
1782403308.353966,1,1,moving,unknown,center,near,1,100.2,59 29 471 480
1782403308.463820,1,1,moving,unknown,center,near,1,140.8,95 49 379 480
1782403308.569161,1,1,moving,unknown,center,near,1,160.8,123 55 342 480
1782403308.675862,1,1,moving,unknown,left,near,1,186.2,114 57 312 480
1782403308.771583,1,1,moving,unknown,left,near,1,211.4,69 62 296 480
1782403308.881069,1,1,moving,unknown,left,near,1,234.2,3 68 275 480
1782403308.976906,1,1,moving,unknown,left,near,1,241.4,1 76 244 480
1782403309.076872,1,1,moving,unknown,left,near,1,221.8,26 83 217 480
1782403309.178586,1,1,moving,unknown,left,near,1,210.2,0 86 193 480
1782403309.276702,1,1,moving,unknown,left,near,1,217.9,0 83 147 480
1782403309.374688,1,1,moving,unknown,left,near,1,211.5,0 81 141 479
1782403309.470595,1,1,moving,unknown,left,near,1,200.8,0 80 99 480
1782403309.569674,1,1,moving,unknown,left,near,1,170.9,0 85 85 480
1782403309.668594,1,1,moving,unknown,left,near,1,148.1,0 87 72 480
1782403309.770856,1,1,moving,unknown,left,near,1,142.6,0 141 62 480
1782403309.862255,0,0,empty,na,na,na,0,0.0,
1782403309.948510,1,1,still,unknown,left,near,0,0.0,0 99 51 480
1782403310.044551,1,1,moving,unknown,left,near,1,86.2,0 66 47 480
1782403310.151465,0,0,empty,na,na,na,0,0.0,
1782403310.249089,0,0,empty,na,na,na,0,0.0,
1782403310.338992,1,1,still,unknown,left,near,0,0.0,0 57 44 480
1782403310.441664,1,1,moving,unknown,left,near,1,79.0,0 90 45 480
1782403310.538913,1,1,moving,unknown,left,near,1,75.5,0 86 42 480
1782403310.635607,1,1,moving,unknown,left,near,1,82.6,0 111 42 480
1782403310.730243,1,1,moving,unknown,left,near,1,70.4,0 103 40 480
1782403310.820781,1,1,moving,unknown,left,near,1,70.7,0 126 42 480
1782403310.923318,1,1,moving,unknown,left,near,1,51.5,0 95 43 480
1782403311.029158,1,1,still,unknown,left,near,0,39.7,0 96 41 480
1782403311.120778,0,0,empty,na,na,na,0,0.0,
1782403311.208459,1,1,still,unknown,left,near,0,0.0,0 122 46 480
1782403311.312482,1,1,moving,unknown,left,near,1,88.1,0 159 45 480
1782403311.415540,1,1,moving,unknown,left,near,1,60.5,0 136 46 480
1782403311.512876,0,0,empty,na,na,na,0,0.0,
1782403311.603925,0,0,empty,na,na,na,0,0.0,
1782403311.697825,0,0,empty,na,na,na,0,0.0,
1782403311.796305,1,1,still,unknown,left,near,0,0.0,0 141 45 480
1782403311.898790,0,0,empty,na,na,na,0,0.0,
1782403311.989242,1,1,still,unknown,left,near,0,0.0,0 139 47 480
1782403312.083646,1,1,still,unknown,left,near,0,1.7,0 139 48 480
1782403312.189593,1,1,still,unknown,left,near,0,2.1,0 139 48 480
1782403312.285443,1,1,still,unknown,left,near,0,7.7,0 146 51 480
1782403312.383843,1,1,still,unknown,left,near,0,14.4,0 145 63 480
1782403312.471135,1,1,still,unknown,left,near,0,17.9,0 153 62 480
1782403312.582766,1,1,still,unknown,left,near,0,18.9,0 150 69 480
1782403312.679813,0,0,empty,na,na,na,0,0.0,
1782403312.765524,1,1,still,unknown,left,near,0,0.0,0 150 90 480
1782403312.871448,1,1,still,unknown,left,near,0,6.3,0 153 92 479
1782403312.969802,1,1,still,unknown,left,near,0,17.7,0 156 100 479
1782403313.061819,1,1,still,unknown,left,near,0,19.7,0 160 99 480
1782403313.161008,1,1,still,stand,left,near,0,19.4,0 162 98 480
1782403313.267968,1,1,still,stand,left,near,0,17.3,0 161 100 480
1782403313.368934,1,1,still,unknown,left,near,0,16.0,0 160 105 479
1782403313.475823,1,1,still,unknown,left,near,0,13.2,0 160 103 463
1782403313.571798,1,1,still,unknown,left,near,0,14.5,0 161 114 473
1782403313.664872,1,1,still,unknown,left,mid,0,26.8,0 163 147 443
1782403313.768209,0,0,empty,na,na,na,0,0.0,
1782403313.852461,2,1,still,stand,left,near,0,0.0,5 172 147 472
1782403313.964528,1,1,still,stand,left,near,0,18.5,14 172 145 475
1782403314.065741,1,1,still,unknown,left,near,0,31.2,23 168 134 457
1782403314.162422,1,1,moving,stand,left,mid,1,44.1,26 168 143 444
1782403314.268532,1,1,moving,sit,left,mid,1,118.2,31 169 126 315
1782403314.367816,1,1,moving,sit,left,far,1,137.6,35 170 128 312
1782403314.469887,1,1,moving,unknown,left,mid,1,86.4,42 174 148 448
1782403314.571045,1,1,moving,unknown,left,mid,1,91.3,47 176 200 366
1782403314.667587,0,0,empty,na,na,na,0,0.0,
1782403314.755732,1,1,still,unknown,left,mid,0,0.0,61 176 136 336
1782403314.859845,1,1,still,stand,left,mid,0,22.2,67 176 138 341
1782403314.961670,1,1,moving,unknown,left,far,1,79.8,75 175 135 282
1782403315.060937,0,0,empty,na,na,na,0,0.0,
1782403315.139293,1,1,still,unknown,left,far,0,0.0,84 179 136 280
1782403315.235154,1,1,still,unknown,left,far,0,12.5,87 179 137 280
1782403315.337811,0,0,empty,na,na,na,0,0.0,
1782403315.420006,1,1,still,unknown,left,far,0,0.0,105 181 157 275
1782403315.523871,1,1,moving,unknown,left,far,1,40.1,110 180 166 285
1782403315.621098,1,1,moving,unknown,left,far,1,61.3,114 180 180 285
1782403315.715797,1,1,moving,stand,left,mid,1,129.7,117 180 202 379
1782403315.806391,1,1,moving,stand,left,mid,1,141.5,119 180 201 380
1782403315.900922,2,1,moving,stand,left,mid,1,133.2,123 182 199 378
1782403316.016718,1,1,moving,unknown,left,far,1,93.5,126 182 198 287
1782403316.130744,1,1,moving,unknown,left,far,1,71.8,131 184 200 287
1782403316.230806,1,1,moving,unknown,left,far,1,57.6,135 183 201 296
1782403316.332829,1,1,moving,unknown,left,far,1,46.3,139 182 203 296
1782403316.432500,1,1,moving,unknown,left,far,1,50.8,142 183 202 300
1782403316.535274,1,1,moving,unknown,left,far,1,54.4,145 183 203 297
1782403316.634709,1,1,moving,stand,left,far,1,56.9,151 184 206 296
1782403316.726135,1,1,moving,unknown,left,far,1,42.3,153 185 210 290
1782403316.821837,1,1,still,stand,left,far,0,38.6,158 185 218 304
1782403316.917418,1,1,still,unknown,left,far,0,39.0,165 187 222 274
1782403317.013922,1,1,moving,unknown,left,far,1,40.9,170 185 227 313
1782403317.113462,1,1,moving,stand,left,far,1,44.6,173 186 235 312
1782403317.215524,1,1,moving,stand,left,far,1,48.2,177 186 239 314
1782403317.317804,1,1,moving,unknown,left,far,1,50.7,182 186 244 317
1782403317.416188,1,1,moving,unknown,center,far,1,53.4,187 187 249 315
1782403317.501883,1,1,moving,unknown,center,far,1,52.4,193 188 252 313
1782403317.597649,1,1,moving,unknown,center,far,1,54.6,196 189 258 311
1782403317.696825,1,1,moving,unknown,center,far,1,53.9,205 189 264 307
1782403317.791188,1,1,moving,unknown,center,far,1,52.7,213 189 264 302
1782403317.892845,1,1,moving,unknown,center,far,1,52.6,220 189 265 296
1782403317.986292,1,1,moving,unknown,center,far,1,52.7,228 189 266 294
1782403318.088719,1,1,moving,stand,center,far,1,51.6,232 191 269 291
1782403318.185868,1,1,moving,stand,center,far,1,52.6,239 193 277 288
1782403318.281933,1,1,moving,stand,center,far,1,53.4,241 192 285 287
1782403318.380678,1,1,moving,stand,center,far,1,55.3,245 194 301 288
1782403318.478904,0,0,empty,na,na,na,0,0.0,
1782403318.560957,0,0,empty,na,na,na,0,0.0,
1782403318.653832,0,0,empty,na,na,na,0,0.0,
1782403318.751071,0,0,empty,na,na,na,0,0.0,
1782403318.830917,0,0,empty,na,na,na,0,0.0,
1782403318.921060,0,0,empty,na,na,na,0,0.0,
1782403319.005508,0,0,empty,na,na,na,0,0.0,
1782403319.096294,0,0,empty,na,na,na,0,0.0,
1782403319.182998,1,1,still,unknown,center,far,0,0.0,285 193 342 287
1782403319.277834,0,0,empty,na,na,na,0,0.0,
1782403319.363073,0,0,empty,na,na,na,0,0.0,
1782403319.447529,0,0,empty,na,na,na,0,0.0,
1782403319.529049,1,1,still,unknown,center,far,0,0.0,326 191 363 285
1782403319.629442,1,1,still,unknown,center,far,0,30.9,328 191 371 292
1782403319.726117,1,1,still,stand,center,far,0,35.0,331 191 373 285
1782403319.828521,1,1,moving,unknown,center,far,1,48.9,337 189 385 303
1782403319.934151,1,1,moving,unknown,center,far,1,54.9,343 189 395 284
1782403320.039336,1,1,moving,stand,center,far,1,55.6,350 190 396 284
1782403320.137028,1,1,moving,unknown,center,far,1,56.6,355 189 404 281
1782403320.241032,1,1,moving,unknown,center,far,1,56.9,358 188 411 272
1782403320.345918,1,1,moving,unknown,center,far,1,58.3,364 188 417 271
1782403320.440028,1,1,moving,unknown,center,far,1,58.3,367 187 420 287
1782403320.537656,1,1,moving,unknown,center,far,1,56.3,371 187 426 287
1782403320.637459,1,1,moving,unknown,center,far,1,51.9,375 187 429 274
1782403320.736257,1,1,moving,unknown,center,far,1,50.6,381 188 434 284
1782403320.831589,1,1,moving,unknown,center,far,1,48.3,384 188 438 275
1782403320.931840,1,1,moving,unknown,center,far,1,47.6,390 187 444 269
1782403321.026759,1,1,moving,unknown,center,far,1,48.9,396 186 450 295
1782403321.134890,1,1,moving,unknown,right,far,1,49.0,399 185 456 299
1782403321.228731,1,1,moving,unknown,right,far,1,48.9,404 184 461 300
1782403321.331062,1,1,moving,unknown,right,far,1,49.0,407 185 465 272
1782403321.427871,1,1,moving,unknown,right,far,1,48.9,411 185 470 301
1782403321.529605,1,1,moving,stand,right,far,1,46.9,414 186 470 283
1782403321.671595,1,1,moving,unknown,right,far,1,45.9,420 187 479 271
1782403321.765817,1,1,moving,unknown,right,far,1,47.6,427 185 487 271
1782403321.862326,1,1,moving,unknown,right,far,1,48.5,433 184 492 283
1782403321.965494,1,1,moving,unknown,right,far,1,49.5,437 183 499 282
1782403322.076487,1,1,moving,unknown,right,far,1,48.6,441 183 502 277
1782403322.173605,1,1,moving,unknown,right,far,1,50.0,446 183 506 274
1782403322.276529,1,1,moving,unknown,right,far,1,50.7,451 183 509 273
1782403322.374264,1,1,moving,unknown,right,far,1,54.0,457 183 521 296
1782403322.475919,1,1,moving,unknown,right,far,1,54.6,464 183 528 284
